Campaign report
1 November 2025 - 30 April 2026
Campaign status	Campaign	Budget	Budget name	Budget type	Currency code	Status	Status reasons	Optimisation score	Campaign type	Conv. value / cost	Avg. target ROAS	Conv. value	Cost / conv.	TrueView avg. CPV	TrueView views	Impr.	Avg. CPM	Cost	Conversions	Clicks	CTR	Conv. (Platform comparable)	Conv. value/Cost (platform comparable)	Unique users
Paused	Shopping | High Neck Frill Tee	2000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Shimmer Leggings	1300.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Ankle Legging	1500.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Denim Jeans	1500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	SHP-Performance Max-Jegging	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; most asset groups limited by policy; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Discovery | Kids1	1700.00	 --	Daily	INR	Paused	campaign paused; most ads disapproved; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Demand Gen | Saree Shaper | Video	2400.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Demand Gen | Metallic Pant	1800.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Enabled	KM | Pmax | Shimmer Leggings	1531.00	 --	Daily	INR	Eligible (Limited)	account prepaid funds are low; limited by budget; some sitelinks are disapproved	82.88	Performance Max	3.09	 --	"525,671.05"	304.99	0.19	"138,746"	"2,582,435"	65.92	170244.61	558.21	"37,731"	1.46%	0.00	0.00	
Paused	Search | Saree Shaper | Competitor Keywords	1200.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	PMax | Shimmer	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Saree Shaper | Demand Gen	2800.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Pyjama Set	2000.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	GH_RLSA_KurtiPant_300125	2000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Retarget | Gmail | Kurti Pant	1100.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Performance Max | Kids	3800.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; most asset groups limited by policy; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Saree Shaper | South	2000.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Kids Ankle Leggings	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Discovery | Bottoms	4000.00	 --	Daily	INR	Paused	campaign paused; most ads disapproved; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Ankle Leggings	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search | Shimmer Leggings	3600.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Competitor Metro_North	6800.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Churidhar Leggings	700.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	GH_Sareeshaper_search_300425	1800.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Video Efficient reach - Pants	5000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Leggings New Camp_Generic #2	3000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Enabled	KM | Feed | Shopping | Campaign	8000.00	 --	Daily	INR	Eligible (Limited)	account prepaid funds are low	96.79	Shopping	3.42	350.00%	"1,652,002.91"	309.66	0	0	"5,548,805"	87.11	483331.44	"1,560.83"	"83,254"	1.50%	0.00	0.00	
Paused	SHP_PerformanceMax_2Feb	5800.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Kurti Pant	1500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search | Ankle Leggings	1300.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; some ads disapproved	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	SHP_Dynamic_Remarketing	300.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Performance Max | Cropped Leggings	2500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Display Retarget | Ankle Leggings	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; some ads disapproved	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	GH_RLSA_Sareeshaper_300125	4000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	SHP_Remarketing_Display	300.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Video Efficient reach - 2024-08-01	1000.00	 --	Daily	INR	Paused	campaign paused; most ads disapproved; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search Dynamic	2000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Display Retarget | Shimmer Leggings	1300.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	GH_RLSA_KurtiPant_290125	2000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Discovery | Gmail | Saree Shaper	1100.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Display | Retargeting	2500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Saree Shaper	900.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	SHP_OfficeWear_Search	300.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; some ads disapproved	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Demand Gen | Saree Shaper C	2100.00	 --	Daily	INR	Paused	campaign paused; most ads disapproved; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Performance Max | Metallic Pant	6000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Innerwear | Camisole	1300.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	P Max | Shimmer Leggings	8000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search | Cropped Leggings	1500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Denim Jegging	1500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	P Max | Churidhar Leggings	6000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	PMax | Top Selling	10000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search | Churidar Legging	2000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Saree Shaper.	1500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Twin Birds - SHP_Leggings_MH_Search_18Sep	500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Enabled	Performance Max | Saree Shaper	8000.00	 --	Daily	INR	Eligible (Limited)	account prepaid funds are low; limited by budget; some sitelinks are disapproved; Products are excluded	83.33	Performance Max	2.02	185.36%	"2,950,912.75"	791.42	0.35	"802,953"	"15,252,401"	95.63	1458528.15	"1,842.92"	"250,874"	1.64%	0.00	0.00	
Paused	TwinBirds_SHP_Display_2Sep	100.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Display	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	All Color Leggings KWs	2500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; some ads disapproved	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search | Competitor Keywords	900.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	GH_YT_SS_180325	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Sleek Kurti Pant	1500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Retarget | Discovery | Kurti Pant	2800.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	GH_Search_oversizedtees_280525	750.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Discovery | Saree Shaper_	2000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Pant Camp Generic #2	3000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	KM | Shimmer Shawls	1531.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; some sitelinks are disapproved	 --	Search	0.09	 --	"1,597.00"	5701.08	0	0	"60,238"	283.93	17103.23	3.00	"2,889"	4.80%	0.00	0.00	
Paused	Performance Max | Tops	3000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; some asset groups limited by policy	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	SHP_Shopping	300.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	GH_RLSA_Sareeshaper_290125	4000.00	 --	Daily	INR	Paused	campaign paused; All ad groups paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	GH_DSA_SareeShapers_060725	2400.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | High Neck Top	2000.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Performance Wear Tights	1000.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Discovery | Retargeting	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	SHP_TwinBirds_Tops_3Oct	300.00	 --	Daily	INR	Paused	campaign paused; most ads disapproved; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	YouTube Channel | Saree Shaper	1200.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	In-stream video	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	KM | Leggings	1531.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; some sitelinks are disapproved	 --	Search	5.10	 --	"69,112.78"	217.54	0	0	"7,669"	1767.22	13552.85	62.30	"1,673"	21.82%	0.00	0.00	
Paused	TwinBirds_SHP_TwinBirds_Bottoms_Search_29Aug	460.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; most ads disapproved	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Metallic Straight Pant	1500.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Search | Saree Shaper	2900.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Search	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	PMax: SHP_SmartShopping	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low; Products are excluded	 --	Performance Max	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Discovery | Kids	1000.00	 --	Daily	INR	Paused	campaign paused; account prepaid funds are low	 --	Demand Gen	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Paused	Shopping | Innerwear | Shorts	1000.00	 --	Daily	INR	Paused	campaign paused; Products are excluded; account prepaid funds are low	 --	Shopping	0.00	 --	0.00	0.00	0	0	0	0	0.00	0.00	0	 --	0.00	0	
Enabled	Search Remarketing | Brand + Products	11000.00	Portfolio Maximize Conversions Value_547476185-300-1673656677724- created on 1/14/2023 6:07 AM	Daily	INR	Eligible (Limited)	account prepaid funds are low; some sitelinks are disapproved	89.82	Search	5.16	 --	"3,861,625.21"	340.19	0	0	"129,890"	5765.55	748887.63	"2,201.40"	"51,525"	39.67%	0.00	0.00	
